alternative_id,sub_code,raw_score
A82,S1,0.3775082580061393
A83,S1,0.520608024036974
A84,S1,0.3346269516487225
A85,S1,0.2805196264499783
A86,S1,0.3571066611580973
A87,S1,0.5353894428273777
A88,S1,0.3963244225836851
A89,S1,0.3651892502802369
A90,S1,0.3622171812773196
A91,S1,0.342414877188425
A92,S1,0.4799244617093796
A93,S1,0.3851127613984208
A94,S1,0.3657789803811422
A95,S1,0.3302753037633568
A96,S1,0.254332857600953
A97,S1,0.3459057552447871
A98,S1,0.4264318325491022
A99,S1,0.4174345181625201
A100,S1,0.337250615818999
A101,S1,0.2372569610185876
A102,S1,0.353930313222052
A103,S1,0.3288595924899246
A104,S1,0.306932741727222
A105,S1,0.4582394807325484
A106,S1,0.4001241154388513
A107,S1,0.5196143088607296
A108,S1,0.3628251550242923
A109,S1,0.4324228715382094
A110,S1,0.3628914552808273
A111,S1,0.1869014311904164
A112,S1,0.4345315159145513
A113,S1,0.44624147283816
A114,S1,0.5571932769905222
A115,S1,0.277147381147158
A116,S1,0.4479680927986849
A117,S1,0.3435758691855594
A118,S1,0.3147091968022839
A119,S1,0.3846424446222291
A120,S1,0.4806292549691579
A121,S1,0.3892439467339808
A122,S1,0.3337958391552355
A123,S1,0.4957770101712718
A124,S1,0.2166172368525994
A125,S1,0.4082793617975176
A126,S1,0.5921826031310897
A127,S1,0.2988601990792077
A128,S1,0.3560295748346289
A129,S1,0.4746105409705587
A130,S1,0.2646171725272419
A131,S1,0.319818837664033
A132,S1,0.3877553070722509
A133,S1,0.2476212058724664
A134,S1,0.3572176510151007
A135,S1,0.2915579467393941
A136,S1,0.548968745058074
A137,S1,0.305767013026767
A138,S1,0.4182488044998539
A139,S1,0.3803325402067321
A140,S1,0.2733633947664753
A141,S1,0.3400489295081566
A142,S1,0.5034634260778476
A143,S1,0.2821813408512354
A144,S1,0.3738749634010662
A145,S1,0.2819405311686465
A146,S1,0.4519257878351363
A147,S1,0.293049375114249
A148,S1,0.2845749084741972
A149,S1,0.4767532901438163
A150,S1,0.3540492969673804
A151,S1,0.4289511241743239
A1,S2,0.4726868269144524
A2,S2,0.2856493574213273
A3,S2,0.4460901693668122
A4,S2,0.4825464155429289
A5,S2,0.3539625962336658
A6,S2,0.373277937375494
A7,S2,0.4880285911175111
A8,S2,0.4113576536865718
A9,S2,0.3394010103684251
A10,S2,0.3739489764123949
A11,S2,0.2895107830039199
A12,S2,0.3687504984331411
A13,S2,0.3459290992294073
A14,S2,0.2465685219896595
A15,S2,0.2532235102473331
A16,S2,0.2524065447481815
A17,S2,0.2617317765368039
A18,S2,0.4574316990751347
A19,S2,0.2568735287549326
A20,S2,0.2377682972839131
A21,S2,0.5212072367857459
A22,S2,0.3935873636768478
A23,S2,0.3716531193217834
A24,S2,0.2307331935969458
A25,S2,0.3955784949163175
A26,S2,0.4648679824065198
A27,S2,0.3246651517817074
A28,S2,0.4126979499564625
A29,S2,0.2904743925729787
A30,S2,0.3154277267223193
A31,S2,0.3502697793096898
A32,S2,0.5517192874387415
A33,S2,0.4392381698046028
A34,S2,0.3177225361318307
A35,S2,0.3787551590374761
A36,S2,0.3220867761999655
A37,S2,0.3499318137512509
A38,S2,0.1954090023562431
A39,S2,0.2769913811738581
A40,S2,0.4836413808532848
A41,S2,0.5792775277398556
A42,S2,0.4189974732810858
A43,S2,0.3593416964369704
A44,S2,0.3760600437521245
A45,S2,0.2930486469734587
A46,S2,0.3024030433447709
A47,S2,0.4193908542554324
A48,S2,0.476451451166002
A49,S2,0.4285623753328635
A50,S2,0.2591712182919811
A51,S2,0.4234944509068133
A52,S2,0.382705410966162
A53,S2,0.292662158579688
A54,S2,0.4035572293350615
A55,S2,0.4143970194059336
A56,S2,0.4753050853836709
A57,S2,0.3418578707073435
A58,S2,0.3719259394053329
A59,S2,0.4804782877385386
A60,S2,0.4589939698309711
A61,S2,0.3671427385226587
A62,S2,0.3125781065339702
A63,S2,0.2669483755721456
A64,S2,0.3081178426676836
A65,S2,0.4837617640645541
A66,S2,0.4779956497550609
A67,S2,0.3680291834536389
A68,S2,0.3932924448222936
A69,S2,0.3916111120677038
A70,S2,0.3631771829715599
A71,S2,0.4335414565875023
A72,S2,0.5290250290452959
A73,S2,0.3765304286379073
A74,S2,0.5090479092266444
A75,S2,0.1275269599801564
A76,S2,0.4777870892766329
A77,S2,0.4035557362295289
A78,S2,0.3743242307205431
A79,S2,0.3613363373089411
A80,S2,0.113443779779319
A81,S2,0.4082194334505653
A82,S2,0.3857497704866085
A83,S2,0.4626181903763469
A84,S2,0.3649718527011434
A85,S2,0.2917459685606114
A86,S2,0.3828495456209969
A87,S2,0.4819590456179256
A88,S2,0.435675712755435
A89,S2,0.2713321358795447
A90,S2,0.4749519437239099
A91,S2,0.3972107880507589
A92,S2,0.4420487079386835
A93,S2,0.3247800211447037
A94,S2,0.2698457942053631
A95,S2,0.362752291653529
A96,S2,0.2080430264887089
A97,S2,0.3413039404104653
A98,S2,0.3307224794833056
A99,S2,0.4278005072325134
A100,S2,0.3292778280803121
A101,S2,0.3274266046140077
A102,S2,0.3178547270503564
A103,S2,0.2716808725200688
A104,S2,0.2596651095876943
A105,S2,0.4193635231203675
A106,S2,0.4042248539652711
A107,S2,0.5110666873596076
A108,S2,0.3991653564412499
A109,S2,0.4215144559482518
A110,S2,0.4213294897912527
A111,S2,0.2813056832600622
A112,S2,0.3588832454017569
A113,S2,0.3226871917613545
A114,S2,0.5656064051982166
A115,S2,0.3728543017546156
A116,S2,0.359260825076546
A117,S2,0.3313124201744826
A118,S2,0.2946014995097041
A119,S2,0.4711077605985914
A120,S2,0.4419382395392104
A121,S2,0.4096143934901128
A122,S2,0.2905434216579824
A123,S2,0.4535442306265586
A124,S2,0.2996034392260638
A125,S2,0.4731822159417916
A126,S2,0.478219818767324
A127,S2,0.2522669599803637
A128,S2,0.2623871742343136
A129,S2,0.3564196376190514
A130,S2,0.331253336413673
A131,S2,0.181810236904011
A132,S2,0.3415755982930672
A133,S2,0.2428884063033397
A134,S2,0.4264087939963077
A135,S2,0.3031888594909918
A136,S2,0.475016300121297
A137,S2,0.319463662690029
A138,S2,0.3256462288322963
A139,S2,0.4334109662943799
A140,S2,0.3492127414829819
A141,S2,0.4567273818373125
